Player,Bowler Rating
Yash Dayal,1886.945051
Jasprit Bumrah,3855.003639
Matheesha Pathirana,2317.876638
Kuldeep Yadav,2795.041849
Sunil Narine,4032.851164
Harshit Rana,2068.222344
Sandeep Sharma,3375.07278
Rashid Khan,3644.859898
Ravi Bishnoi,2719.332242
Mayank Yadav,1969.423217
Mohsin Khan,2242.385371
Kagiso Rabada,3129.930859
Arshdeep Singh,2709.643377
Mitchell Starc,2601.76492
Yuzvendra Chahal,4156.768559
Mohammed Shami,3057.014192
Mohammed Siraj,2817.239811
Khaleel Ahmed,2683.697234
Trent Boult,3086.326419
Josh Hazlewood,2406.068049
Avesh Khan,2548.025837
Prasidh Krishna,2389.455968
T Natarajan,2502.802038
Anrich Nortje,2520.205604
Noor Ahmad,2331.977802
Rahul Chahar,2823.30786
Wanindu Hasaranga,2106.204512
Maheesh Theekshana,2309.015648
Adam Zampa,2241.020742
Vaibhav Arora,2133.042213
Rasikh Salam,1847.025109
Akash Madhwal,2286.180859
Mohit Sharma,3143.777293
Simarjeet Singh,2234.9254
Yash Thakur,2092.485444
Vijaykumar Vyshak,2143.777293
Shreyas Gopal,2579.848981
Mayank Markande,2555.585881
Suyash Sharma,1972.534571
Karn Sharma,2242.958515
Kumar Kartikeya,2252.456332
Manav Suthar,1676.355531
Deepak Chahar,2720.69687
Gerald Coetzee,1988.191412
Akash Deep,1552.083333
Tushar Deshpande,1987.745633
Lockie Ferguson,2346.552038
Bhuvneshwar Kumar,3995.724163
Mukesh Kumar,1768.358806
AM Ghazanfar,0
Gurnoor Brar,2025.764192
Mukesh Choudhary,2221.552038
Sushant Mishra,2025.764192
Arjun Tendulkar,1898.062227
Zeeshan Ansari,2025.764192
Himanshu Sharma,2025.764192
Manimaran Siddharth,2025.764192
Digvesh Rathi,2025.764192
Nandre Burger,2025.764192
Spencer Johnson,2025.764192
Umran Malik,2203.957424
Ishant Sharma,2998.326055
Nuwan Thushara,2025.764192
Jaydev Unadkat,2921.279112
Zahir Khan,2025.764192
Nqabayomzi Peter,2025.764192
Tanveer Sangha,2025.764192
Tabraiz Shamsi,2025.764192
Jeffrey Vandersay,2025.764192
Money Grewal,2025.764192
Ashwani Kumar,2025.764192
Ishan Porel,1706.049854
Abhilash Shetty,2025.764192
Akash Singh,1719.641557
Gurjapneet Singh,2025.764192
Basil Thampi,2116.493814
Shreyas Chavan,2025.764192
Chintal Gandhi,2025.764192
Jagadeesha Suchith,2112.145197
Roshan Waghsare,2025.764192
Fazalhaq Farooqi,1926.073508
Matt Henry,2025.764192
Kwena Maphaka,2025.764192
Kuldeep Sen,1932.359898
Reece Topley,1948.589884
Lizaad Williams,2025.764192
KM Asif,1541.666667
Akhil Chaudhary,2025.764192
Himanshu Chauhan,2025.764192
Saranu Nishanth,2025.764192
Kuldip Yadav,2025.764192
Prithvi Raj,2025.764192
Shubham Agarwal,2025.764192
Jasinder Singh,2025.764192
Jasmer Dhankhar,2025.764192
Pulkit Narang,2025.764192
Saumy Pandey,2025.764192
Mohit Rathee,2025.764192
Himanshu Singh,2025.764192
Dushmantha Chameera,1890.693231
Nathan Ellis,2103.475255
Shamar Joseph,2025.764192
Josh Little,1986.50837
Jhye Richardson,1735.616812
Saurabh Dubey,2025.764192
Aaqib Khan,2025.764192
Kulwant Khejroliya,2009.85262
Ankit Rajpoot,2101.219068
Prince Yadav,2025.764192
Kunal Singh Chibb,2025.764192
Yuvraj Chudasama,2025.764192
Deepak Devadiga,2025.764192
Ramesh Prasad,2025.764192
Shivam Shukla,2025.764192
Himanshu Singh,2025.764192
Tejpreet Singh,2025.764192
Xavier Bartlett,2025.764192
Lungi Ngidi,2305.394833
Baltej Singh,1774.108443
Ali Khan,2025.764192
Ravi Kumar,2025.764192
Vineet Panwar,2025.764192
Vidyadhar Patil,2025.764192
Aaradhya Shukla,2025.764192
Abhinandan Singh,2025.764192
Taskin Ahmed,2025.764192
Ben Dwarshuis,2025.764192
Obed McCoy,1883.451601
Riley Meredith,2086.135371
Daniel Worrall,2025.764192
Sayed Irfan Aftab,2025.764192
Siddarth Kaul,2593.249636
Prashant Painkra,2025.764192
Satyanarayana Raju Yeddala Reddy,2025.764192
Shoriful Islam,2025.764192
Matthew Potts,2025.764192
Tanzim Hasan Sakib,2025.764192
Ben Sears,2025.764192
Tim Southee,2265.029112
John Turner,2025.764192
Mohit Avasthi,2223.680859
Faridoon Dawoodzai,0
Praful Hinge,0
Pankaj Jaswal,0
Ashok Sharma,0
Mujtaba Yousuf,0
James Anderson,0
Hasan Mahmud,0
Tymal Mills,1867.858443
David Payne,0
Nahid Rana,0
Anirudh Kanwar,0
Shubham Kapse,0
Atif Mushtaq,0
Dipesh Parwani,0
Manish Reddy,0
Chetan Sharma,0
Daryn Dupavillon,0
Lahiru Kumara,0
Richard Ngarava,0
Wayne Parnell,2231.968705
Andrew Tye,2382.914847
Vishal Godara,0
Eshan Malinga,0
Samarth Nagaraj,0
Dumindu Sewmina,0
Pradyuman Singh,0
Vasu Vats,0
Jofra Archer,2559.07933
Saurabh Netravalkar,0
