Match_ID,Season,Match_Date,Venue,City,Team_1,Team_2,Toss_Winner,Toss_Decision,First_Innings_Runs,First_Innings_Wickets,Second_Innings_Runs,Second_Innings_Wickets,Powerplay_Runs_T1,Powerplay_Runs_T2,Death_Overs_Runs_T1,Death_Overs_Runs_T2,Top_Batsman_T1,Top_Batsman_T1_Runs,Top_Batsman_T2,Top_Batsman_T2_Runs,Best_Bowler_T1,Best_Bowler_T1_Wickets,Best_Bowler_T2,Best_Bowler_T2_Wickets,Winner,Winning_Margin,Player_of_Match,Pitch_Type,Weather,Head_to_Head_T1_Wins,Head_to_Head_T2_Wins
1261fa6d-fbd0-4488-b531-7669085b5cf6,2024,Mar 22,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Bat,173,6,176,4,51,42,48,60,Ruturaj Gaikwad,69,Anuj Rawat,48,Mustafizur Rahman,4,Deepak Chahar,1,Chennai Super Kings,6 wickets,Mustafizur Rahman,Spin Friendly,Clear,20,10
dc272c44-9f96-42aa-a661-933c88ff7339,2024,Mar 23,Maharaja Yadavindra Singh International Cricket Stadium,Mohali,Punjab Kings,Delhi Capitals,Delhi Capitals,Bowl,174,9,177,6,43,62,50,45,Sam Curran,63,Shai Hope,33,Arshdeep Singh,2,Khaleel Ahmed,2,Punjab Kings,4 wickets,Sam Curran,Batting Friendly,Clear,16,15
7529e9a2-7d1e-4070-a6cc-3d3fb3dbd2d7,2024,Mar 23,Eden Gardens,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Bowl,208,7,204,7,70,55,50,65,Andre Russell,64,Heinrich Klaasen,63,Harshit Rana,3,Pat Cummins,1,Kolkata Knight Riders,4 runs,Andre Russell,Batting Friendly,Clear,15,8
a06b187b-dd7e-47ea-836e-7258c3d13e9f,2024,Mar 24,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,Bat,193,4,173,6,65,52,60,40,Sanju Samson,82,KL Rahul,58,Yuzvendra Chahal,2,Naveen-ul-Haq,2,Rajasthan Royals,20 runs,Sanju Samson,Batting Friendly,Clear,3,2
c8c80841-fc74-48b3-b5bd-e5b902b427fe,2024,Mar 24,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,Bowl,168,6,163,9,47,52,55,48,Sai Sudharsan,45,Rohit Sharma,43,Mohit Sharma,3,Jasprit Bumrah,3,Gujarat Titans,6 runs,Mohit Sharma,Balanced,Clear,2,0
53a4d9af-a0db-48f8-82ba-3b1c7e161ad6,2024,Mar 25,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Bowl,176,6,180,6,50,58,60,55,Virat Kohli,77,Shikhar Dhawan,45,Mohammed Siraj,2,Harpreet Brar,2,Punjab Kings,4 wickets,Shikhar Dhawan,Batting Friendly,Clear,17,16
7908df5f-c3ce-48d8-90bc-e700c1abeb42,2024,Mar 26,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Bowl,206,6,143,8,60,48,65,40,Shivam Dube,51,Shubman Gill,8,Mustafizur Rahman,2,Rashid Khan,2,Chennai Super Kings,63 runs,Shivam Dube,Spin Friendly,Clear,3,2
aa507eb5-8e8a-4b6d-8512-7f69b9594311,2024,Mar 27,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Bowl,277,3,246,5,81,76,70,80,Travis Head,62,Tilak Varma,64,Pat Cummins,2,Kwena Maphakha,1,Sunrisers Hyderabad,31 runs,Travis Head,Batting Friendly,Clear,11,9
3bff3e8c-add1-47b0-82cb-93895d4769c6,2024,Mar 28,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Bat,185,5,173,5,58,54,58,50,Riyan Parag,84,David Warner,49,Yuzvendra Chahal,2,Axar Patel,1,Rajasthan Royals,12 runs,Riyan Parag,Batting Friendly,Clear,14,13
ba000e8a-394e-4b09-b8a0-d35920466403,2024,Mar 29,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Bowl,182,6,186,3,52,65,55,60,Virat Kohli,83,Venkatesh Iyer,50,Vijaykumar Vyshak,2,Andre Russell,1,Kolkata Knight Riders,7 wickets,Venkatesh Iyer,Batting Friendly,Clear,17,17
2900f51a-a587-4045-8b75-a3c10b4cc825,2024,Mar 30,Maharaja Yadavindra Singh International Cricket Stadium,Mohali,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,Bowl,178,5,181,4,55,60,50,55,Shikhar Dhawan,70,Quinton de Kock,54,Kagiso Rabada,2,Mayank Yadav,3,Lucknow Super Giants,6 wickets,Mayank Yadav,Batting Friendly,Clear,2,1
d8d2aaa4-b256-48d6-9bae-261f237bde7c,2024,Mar 31,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,Bat,162,8,168,4,48,56,50,60,Sai Sudharsan,45,Heinrich Klaasen,36,Mohit Sharma,3,Pat Cummins,1,Sunrisers Hyderabad,6 wickets,Heinrich Klaasen,Balanced,Clear,2,1
2c0bd8c8-6e17-4f5e-81cd-2ba4e9daefeb,2024,Mar 31,Wankhede Stadium,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Bowl,125,9,127,4,40,42,30,35,Hardik Pandya,34,Riyan Parag,54,Akash Madhwal,3,Yuzvendra Chahal,3,Rajasthan Royals,6 wickets,Yuzvendra Chahal,Spin Friendly,Clear,15,13
6de2fb9e-f9fa-4e7d-aecc-b37f1045da94,2024,Apr 1,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Bowl,176,6,180,4,52,60,55,60,Ruturaj Gaikwad,48,KL Rahul,82,Mustafizur Rahman,2,Matheesha Pathirana,1,Lucknow Super Giants,8 wickets,KL Rahul,Spin Friendly,Clear,2,1
09811e2e-1d3a-44b3-98d5-17789d10498a,2024,Apr 2,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,Bat,181,6,153,10,54,48,60,50,Virat Kohli,61,Nicholas Pooran,40,Glenn Maxwell,2,Mayank Yadav,3,Royal Challengers Bengaluru,28 runs,Glenn Maxwell,Batting Friendly,Clear,2,2
033af286-1f04-4e05-8787-52beb9e02c6d,2024,Apr 3,Arun Jaitley Stadium,Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Bowl,167,9,172,7,45,62,48,55,David Warner,33,Sunil Narine,85,Anrich Nortje,3,Vaibhav Arora,3,Kolkata Knight Riders,3 wickets,Sunil Narine,Batting Friendly,Clear,16,16
bd64fe85-2861-410a-845f-3b09017f4927,2024,Apr 4,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Punjab Kings,Punjab Kings,Bowl,199,4,200,7,60,68,65,55,Shubman Gill,89,Shashank Singh,61,Rashid Khan,1,Kagiso Rabada,2,Punjab Kings,3 wickets,Shashank Singh,Batting Friendly,Clear,17,16
dd1ad87c-4c29-4a2c-ac14-b302d71d06bb,2024,Apr 5,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Bowl,165,8,166,4,50,58,55,62,Abhishek Sharma,37,Shivam Dube,45,Pat Cummins,3,Matheesha Pathirana,1,Chennai Super Kings,6 wickets,Shivam Dube,Batting Friendly,Clear,19,10
9090b1ab-91db-4c36-93bd-e623ceeec93f,2024,Apr 6,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Bat,196,3,183,6,62,55,60,50,Jos Buttler,100,Virat Kohli,113,Yuzvendra Chahal,2,Reece Topley,2,Rajasthan Royals,6 wickets,Jos Buttler,Batting Friendly,Clear,16,13
c5a1ac3a-2c91-4706-a5b2-587c778e7e5b,2024,Apr 7,Wankhede Stadium,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,Bowl,234,5,205,8,75,60,70,55,Rohit Sharma,49,Tristan Stubbs,71,Gerald Coetzee,4,Khaleel Ahmed,2,Mumbai Indians,29 runs,Romario Shepherd,Batting Friendly,Clear,17,15
c584b2bc-a864-4739-9be4-d02f842435a9,2024,Apr 7,Lucknow Cricket Stadium,Lucknow,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Bowl,163,5,167,7,52,55,50,52,KL Rahul,33,Shubman Gill,94,Yash Thakur,3,Umesh Yadav,2,Gujarat Titans,7 wickets,Shubman Gill,Balanced,Clear,2,3
9f24d386-f189-4569-8ad5-e8e8ec90de74,2024,Apr 8,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,137,9,141,3,48,52,40,40,Ruturaj Gaikwad,67,Phil Salt,54,Tushar Deshpande,3,Vaibhav Arora,2,Kolkata Knight Riders,7 wickets,Phil Salt,Spin Friendly,Clear,18,15
3dc9598f-e8ef-4f49-bcfd-042ba9b58958,2024,Apr 9,Maharaja Yadavindra Singh International Cricket Stadium,Mohali,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Bowl,182,9,185,8,55,60,50,55,Sam Curran,29,Nitish Reddy,64,Harshal Patel,2,Pat Cummins,2,Sunrisers Hyderabad,2 runs,Nitish Reddy,Batting Friendly,Clear,12,11
aac51b12-dcb8-4e40-a37a-892c33d3cacb,2024,Apr 10,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Bowl,196,3,199,7,65,62,60,65,Riyan Parag,76,Shubman Gill,72,Yuzvendra Chahal,2,Rashid Khan,1,Gujarat Titans,3 wickets,Rashid Khan,Batting Friendly,Clear,3,3
f00bc25b-e798-4ee7-afac-455a672116f8,2024,Apr 11,Wankhede Stadium,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bowl,196,8,199,3,60,68,60,65,Ishan Kishan,69,Faf du Plessis,61,Jasprit Bumrah,5,Akash Deep,1,Royal Challengers Bengaluru,7 wickets,Faf du Plessis,Batting Friendly,Clear,18,14
440f03ca-8388-44bc-b94d-b9345a4034cd,2024,Apr 12,Lucknow Cricket Stadium,Lucknow,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,Bat,167,7,170,4,50,55,50,60,Ayush Badoni,55,Jake Fraser-McGurk,55,Ravi Bishnoi,2,Kuldeep Yadav,3,Delhi Capitals,6 wickets,Jake Fraser-McGurk,Balanced,Clear,3,2
766503ab-b20c-49cd-94a5-2c6e8aa9266a,2024,Apr 13,Maharaja Yadavindra Singh International Cricket Stadium,Mohali,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Bowl,147,8,148,7,45,48,40,45,Liam Livingstone,21,Yashasvi Jaiswal,39,Kagiso Rabada,2,Keshav Maharaj,2,Rajasthan Royals,3 wickets,Keshav Maharaj,Batting Friendly,Clear,12,14
1db463fc-0983-47d6-a2aa-3e3b6f591dc2,2024,Apr 14,Eden Gardens,Kolkata,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,Bat,235,6,137,10,65,40,70,45,Sunil Narine,81,Marcus Stoinis,36,Harshit Rana,3,Ravi Bishnoi,1,Kolkata Knight Riders,98 runs,Sunil Narine,Batting Friendly,Clear,3,1
6379b737-e2d4-47a2-bd6d-fc0781b15f7b,2024,Apr 14,Wankhede Stadium,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Bowl,209,6,186,6,65,60,60,55,Rohit Sharma,105,Ruturaj Gaikwad,69,Hardik Pandya,2,Matheesha Pathirana,4,Chennai Super Kings,20 runs,Matheesha Pathirana,Batting Friendly,Clear,20,14
cead563a-50e4-4c86-a2bf-47337a752a94,2024,Apr 15,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Bowl,287,3,287,7,67,79,80,72,Dinesh Karthik,83,Travis Head,102,Lockie Ferguson,2,Pat Cummins,3,Sunrisers Hyderabad,1 run,Travis Head,Batting Friendly,Clear,12,11
6c5fd0a9-9a50-402f-8f8e-e2cb549c0597,2024,Apr 16,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Delhi Capitals,Delhi Capitals,Bowl,89,10,92,4,30,35,20,25,Rashid Khan,31,Jake Fraser-McGurk,20,Mohit Sharma,3,Mukesh Kumar,3,Delhi Capitals,6 wickets,Mukesh Kumar,Balanced,Clear,1,2
ba4e792b-9999-4a9b-9274-09fd746f0830,2024,Apr 17,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Bat,287,3,262,7,76,65,80,70,Travis Head,102,Dinesh Karthik,83,Pat Cummins,3,Lockie Ferguson,2,Sunrisers Hyderabad,25 runs,Travis Head,Batting Friendly,Clear,12,11
cc78c557-c758-4204-bbbe-106886650315,2024,Apr 18,Maharaja Yadavindra Singh International Cricket Stadium,Mohali,Punjab Kings,Mumbai Indians,Mumbai Indians,Bowl,192,7,196,1,58,62,60,65,Ashutosh Sharma,61,Suryakumar Yadav,78,Harshal Patel,3,Jasprit Bumrah,3,Mumbai Indians,9 wickets,Suryakumar Yadav,Batting Friendly,Clear,16,17
11227f17-386f-45e6-ad0a-a39291aa9d72,2024,Apr 19,Eden Gardens,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bowl,222,6,223,1,68,70,60,70,Shreyas Iyer,50,Will Jacks,100,Andre Russell,2,Yash Dayal,1,Royal Challengers Bengaluru,9 wickets,Will Jacks,Batting Friendly,Clear,18,18
97ae0422-96c4-4a0b-88c6-aa4ebd78c541,2024,Apr 20,Arun Jaitley Stadium,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Bowl,208,4,214,4,65,70,60,65,Travis Head,89,Rishabh Pant,44,T Natarajan,4,Kuldeep Yadav,2,Sunrisers Hyderabad,6 wickets,Travis Head,Batting Friendly,Clear,13,9
